
Vcb =0.5,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vgb (0),Shi_s (0),Qc (0),dq/dVgb (0)
-0.956102481407230,0.00499044913681782,-8.64913523066895e-5,0.00851279482327606
-0.906102481407230,0.0322751226860858,-0.000478678305996997,0.00719428338286946
-0.856102481407230,0.0631359436718070,-0.000809121626284204,0.00606431384252536
-0.806102481407230,0.0968979955360950,-0.00108947432351508,0.00519273414816636
-0.756102481407230,0.132835049563709,-0.00133227553650404,0.00455294840079552
-0.706102481407230,0.170363984813874,-0.00154759251537156,0.00408294200336004
-0.656102481407230,0.209076369176457,-0.00174247671804803,0.00372796549834313
-0.606102481407230,0.248697398001375,-0.00192167280503557,0.00345046829838904
-0.556102481407230,0.289039883679790,-0.00208841269460884,0.00322660298988156
-0.506102481407230,0.329972015040752,-0.00224497216842040,0.00304125087434612
-0.456102481407230,0.371397512637263,-0.00239301352501342,0.00288454608412299
-0.406102481407230,0.413243686294882,-0.00253379178300483,0.00274980615013052
-0.356102481407230,0.455454100413300,-0.00266828132013307,0.00263233904321794
-0.306102481407230,0.497983908585720,-0.00279725642309482,0.00252874444307178
-0.256102481407230,0.540796774509432,-0.00292134444906230,0.00243649066362584
-0.206102481407230,0.583862746592689,-0.00304106205797686,0.00235364894522813
-0.156102481407230,0.627156892107476,-0.00315684104676561,0.00227872043160964
-0.106102481407230,0.670658014528544,-0.00326904617989907,0.00221052065039776
-0.0561024814072298,0.714348066423873,-0.00337798932875465,0.00214809925425133
-0.00610248140722976,0.758211472076142,-0.00348393946108248,0.00209068379611877
0.0438975185927702,0.802234680159359,-0.00358713048372201,0.00203763907590880
0.0938975185927702,0.846405814781737,-0.00368776733028796,0.00198843729645621
0.143897518592770,0.890714447146624,-0.00378603085567939,0.00194263574132878
0.193897518592770,0.935151237131032,-0.00388208134556160,0.00189986004861760
0.243897518592770,0.979707914245977,-0.00397606194816893,0.00185979111805091
0.293897518592770,1.02437704509021,-0.00406810098675881,0.00182215532543164
0.343897518592770,1.06915192240557,-0.00415831407102177,0.00178671767689257
0.393897518592770,1.11402649868818,-0.00424680605992134,0.00175328155573694
0.443897518592770,1.15899518961055,-0.00433367335281689,0.00172171777162130
0.493897518592770,1.20405248465022,-0.00441901063676807,0.00169215220194149
0.543897518592770,1.24919113557533,-0.00450294328694913,0.00166604534616587
0.593897518592770,1.29439182489004,-0.00458580482572678,0.00165230634138073
0.643897518592770,1.33956567894206,-0.00466912970439145,0.00170130414614717
0.693897518592770,1.38424720277581,-0.00476095749134429,0.00207558178682041
0.743897518592770,1.42633484995633,-0.00489759252364818,0.00372241328443125
0.793897518592770,1.46070713013347,-0.00516739752746508,0.00725551272004102
0.843897518592771,1.48467900695706,-0.00561676550078644,0.0105011410639117
